time,ax,ay,az,atotal
0.019228935,0.11,-0.08,0.03,0.13
0.022815704,0.35,-0.15,0.05,0.38
0.028270721,0.37,-0.1,0.05,0.38
0.050750732,0.26,0.01,-0.01,0.26
0.051520824,0.07,0.08,-0.03,0.11
0.057844877,-0.06,0.05,-0.05,0.09
0.067966938,-0.11,-0.03,-0.05,0.12
0.077962875,-0.1,-0.09,-0.08,0.15
0.087955952,-0.07,-0.14,-0.11,0.19
0.097956657,-0.01,-0.13,-0.13,0.18
0.10795188,0.03,-0.09,-0.17,0.19
0.119176865,0.01,-0.02,-0.25,0.25
0.127874851,-0.01,0.07,-0.29,0.29
0.149698734,0.03,0.12,-0.28,0.3
0.151836872,0.09,0.14,-0.22,0.27
0.15866375,0.13,0.12,-0.14,0.22
0.170397758,0.17,0.17,0.1,0.26
0.179171801,0.24,0.25,0.36,0.49
0.189489841,0.38,0.17,0.42,0.59
0.202521801,0.48,0.04,0.38,0.61
0.209899902,0.44,0.01,0.29,0.52
0.223608971,0.27,0.05,0.2,0.33
0.229729652,0.11,0.07,0.11,0.17
0.254015923,0.06,0.01,0.01,0.06
0.25467968,0,-0.06,-0.03,0.06
0.258838654,-0.14,-0.15,-0.01,0.2
0.269043922,-0.24,-0.11,0.02,0.26
0.279278755,-0.25,-0.06,0.04,0.26
0.28975296,-0.17,-0.03,0.1,0.19
0.301316738,-0.08,0.04,0.16,0.18
0.309714794,0.05,0.15,0.24,0.28
0.324264765,0.18,0.29,0.35,0.48
0.329905987,0.29,0.44,0.36,0.63
0.350427866,0.5,0.5,0.13,0.71
0.352060795,0.65,0.37,-0.4,0.84
0.359367847,0.5,0.23,-0.68,0.87
0.370099783,0.31,0.25,-0.5,0.63
0.379707813,0.27,0.2,-0.35,0.48
0.390352726,0.23,0.08,-0.54,0.59
0.401570797,0.1,0.22,-0.69,0.73
0.410238743,0.19,0.4,-0.86,0.96
0.42470789,0.51,0.7,-0.91,1.25
0.430287838,0.58,0.78,-0.64,1.16
0.45078373,0.49,0.49,-0.52,0.86
0.452517986,0.39,0.29,-0.45,0.66
0.459733963,0.39,0.19,-0.43,0.61
0.470217705,0.35,0.26,-0.3,0.52
0.480260849,0.33,0.41,-0.06,0.52
0.490250826,0.4,0.38,0.01,0.55
0.501378775,0.43,0.2,-0.11,0.48
0.510674953,0.47,0.1,0.03,0.48
0.523589849,0.5,0.04,0.49,0.7
0.53080368,0.55,-0.12,0.51,0.75
0.549836874,0.68,-0.33,0.99,1.24
0.551673889,0.8,-0.27,1.03,1.33
0.560117722,0.7,-0.09,1.09,1.29
0.570112705,0.78,0.09,1.04,1.3
0.580323696,0.97,0.25,1.03,1.43
0.590903759,1.04,0.28,0.92,1.41
0.601200819,0.85,0.27,0.71,1.13
0.611086845,0.63,0.27,0.42,0.8
0.625536919,0.34,0.21,0.13,0.42
0.631119728,0.05,0.11,-0.17,0.2
0.650557995,-0.06,0.05,-0.21,0.22
0.652176857,-0.1,-0.02,-0.03,0.1
0.660741806,-0.03,-0.18,0.31,0.35
0.670841694,0.17,-0.25,0.57,0.64
0.681232929,0.36,-0.18,0.63,0.74
0.691498756,0.59,-0.06,0.66,0.88
0.701564789,0.95,0.08,0.52,1.08
0.712050915,1.09,0.35,0.38,1.2
0.725576878,0.8,0.3,0.32,0.91
0.731673717,0.58,-0.01,0.06,0.58
0.749986649,0.39,-0.17,-0.14,0.44
0.751755714,0.21,-0.26,-0.15,0.36
0.761011839,-0.09,-0.21,-0.2,0.3
0.771345854,-0.24,-0.1,-0.4,0.47
0.781527996,-0.28,-0.11,-0.55,0.62
0.791555882,-0.25,-0.12,-0.63,0.68
0.80184269,-0.26,-0.14,-0.74,0.79
0.81194973,-0.32,-0.06,-0.81,0.87
0.824694872,-0.3,-0.03,-0.82,0.87
0.832840919,-0.06,-0.07,-0.61,0.61
0.85330081,0.16,-0.06,-0.38,0.41
0.855037689,0.22,-0.01,-0.2,0.29
0.861894846,0.16,0.01,-0.04,0.16
0.871620655,0.11,0.13,0.1,0.19
0.881774902,0.04,0.13,0.04,0.14
0.892501831,-0.07,0.15,0.14,0.21
0.902167797,-0.07,0.13,0.05,0.15
0.912990808,-0.1,0.09,-0.47,0.48
0.926158905,-0.21,0.11,-0.61,0.65
0.932525873,-0.26,0.06,-0.57,0.62
0.95110178,-0.31,-0.08,-0.52,0.61
0.9529109,-0.38,-0.23,-0.36,0.57
0.961969852,-0.39,-0.17,-0.19,0.46
0.972026825,-0.32,-0.02,-0.13,0.34
0.983401775,-0.25,0.1,-0.21,0.34
0.992448807,-0.39,0.22,-0.36,0.57
1.002703667,-0.58,0.24,-0.56,0.84
1.012680769,-0.82,0.18,-0.65,1.06
1.02666688,-0.91,0.06,-0.65,1.11
1.053581715,-0.88,-0.01,-0.59,1.05
1.055169821,-0.78,-0.21,-0.51,0.95
1.055818796,-0.6,-0.19,-0.25,0.67
1.062298775,-0.5,0.03,0.04,0.5
1.072476864,-0.32,0.1,0.07,0.34
1.083548784,-0.24,0.08,-0.15,0.29
