time,ax,ay,az,atotal
230.3711267,-0.67,-0.83,0.58,1.21
230.3875637,-0.69,-0.76,0.72,1.25
230.3891778,-0.58,-0.67,0.82,1.2
230.3899388,-0.42,-0.55,0.93,1.15
230.3905299,-0.18,-0.38,1.03,1.11
230.3908896,-0.09,-0.26,1.05,1.08
230.3911579,-0.19,-0.25,1.07,1.11
230.391408,-0.22,-0.18,1.02,1.05
230.3916507,-0.23,-0.07,0.97,0.99
230.3918889,-0.29,-0.04,1.02,1.06
230.3921857,-0.33,-0.06,1.2,1.24
230.3924198,-0.22,0.02,1.37,1.38
230.393374,-0.1,0.07,1.32,1.32
230.3936057,0.08,0.03,1.07,1.07
230.3939829,0.37,-0.17,0.8,0.89
230.3943799,0.52,-0.6,0.65,1.02
230.394702,0.79,-0.92,0.71,1.4
230.3949299,1.25,-1.11,1.01,1.95
230.3951597,1.57,-1.33,1.28,2.42
230.3953888,1.69,-1.49,1.36,2.63
230.3956058,1.78,-1.41,1.34,2.63
230.395834,1.89,-1.17,1.27,2.56
230.4007249,1.99,-0.94,1.06,2.44
230.4009547,2.02,-0.67,0.81,2.27
230.4011748,2.11,-0.34,0.7,2.24
230.4015238,2.35,0.02,0.47,2.39
230.4020038,2.61,0.33,0.16,2.63
230.4022958,2.65,0.6,0.2,2.72
230.4025087,2.61,0.86,0.69,2.83
230.4028168,2.32,1.08,1.29,2.86
230.4032848,1.85,1.2,1.79,2.84
230.4035728,1.09,1.25,1.92,2.53
230.4044569,0.26,1.22,1.62,2.04
230.4046729,-0.17,1.08,1.15,1.58
230.4049249,-0.25,1.03,0.67,1.25
230.4051368,-0.18,1.04,0.3,1.09
230.4053488,-0.23,0.97,0.08,1
230.4055889,-0.31,0.89,-0.01,0.94
230.4060588,-0.38,0.81,0.03,0.89
230.4062798,-0.48,0.7,-0.02,0.84
230.4064918,-0.72,0.52,-0.14,0.89
230.4067039,-1.13,0.48,-0.03,1.22
230.4075689,-1.61,0.44,0.24,1.68
230.4077797,-1.95,0.33,0.54,2.05
230.4081678,-2,0.14,0.88,2.18
230.4086246,-1.79,-0.25,1.22,2.18
230.4091077,-1.52,-0.7,1.39,2.17
230.4094319,-1.26,-1.12,1.3,2.12
230.4096427,-1.12,-1.46,0.99,2.08
230.409853,-1.2,-1.68,0.45,2.11
230.4100628,-1.46,-1.84,-0.18,2.35
230.4103899,-1.8,-1.9,-0.82,2.74
230.4121218,-2.28,-1.86,-1.36,3.24
230.412395,-2.62,-1.62,-1.76,3.54
230.4126129,-2.73,-1.44,-2.1,3.73
230.4128237,-2.45,-1.38,-2.29,3.62
230.4130368,-1.96,-1.48,-2.27,3.34
230.4173849,-1.3,-1.64,-2.12,2.97
230.4175887,-0.76,-1.73,-1.9,2.67
230.4177899,-0.51,-1.72,-1.66,2.44
230.4181647,-0.46,-1.51,-1.43,2.12
230.4185598,-0.61,-1.21,-1.24,1.83
